language,ISO_code,thisN,thisTrialN,thisRepN,message,EN,ES,FR,hand,inst_pic,image_w,image_h,text_x,inst_msg_EN,inst_msg_ES,stim,sequence_code,sequence_type,trial_type,key_presses,sequence_picture,prompt_before,prompt,block_adv_resp.keys,block_adv_resp.rt,block_adv_resp.duration,adv_trial.keys,adv_trial.rt,adv_trial.duration,seq_resp.keys,seq_resp.rt,seq_resp.duration,self_assess_question_EN,label_min_EN,label_middle_EN,label_max_EN,self_assess_question_ES,label_min_ES,label_middle_ES,label_max_ES,slider.response,slider.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,lang_loop.thisRepN,lang_loop.thisTrialN,lang_loop.thisN,lang_loop.thisIndex,messages_loop.thisRepN,messages_loop.thisTrialN,messages_loop.thisN,messages_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,seq_loop.thisRepN,seq_loop.thisTrialN,seq_loop.thisN,seq_loop.thisIndex,self_assess_loop.thisRepN,self_assess_loop.thisTrialN,self_assess_loop.thisN,self_assess_loop.thisIndex,thisRow.t,notes,language_code,counterbalance.group,counterbalance.remaining,load_lg.started,load_lg.stopped,msg_name,msg_value,title_text.started,left_poly.started,right_poly.started,left_text.started,right_text.started,mouse.started,handedness,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,task_title.started,block_start.started,block_main_text.started,block_number_text.started,block_adv_resp.started,timer.started,block_start.stopped,block_number,block_pause,blocks_loop.block_adv_resp.keys,blocks_loop.block_adv_resp.rt,blocks_loop.block_adv_resp.duration,reps_per_block,sequence_selected,pre_trial.started,instruction.started,adv_trial.started,press_space_text.started,pre_trial.stopped,seq_loop.adv_trial.keys,seq_loop.adv_trial.rt,seq_loop.adv_trial.duration,seq_trial.started,fix_cross.started,seq_image.started,box_F.started,box_G.started,box_H.started,box_J.started,seq_resp.started,seq_trial.stopped,seq_typed,seq_acc,seq_time,seq_loop.seq_resp.keys,seq_loop.seq_resp.rt,seq_loop.seq_resp.duration,crit_counter,seq_fb.started,seq_fb_text.started,sound_corr.started,sound_incorr.started,sound_corr.stopped,sound_incorr.stopped,seq_fb.stopped,self_assess.started,self_assess_text.started,slider.started,label_0.started,label_5.started,label_10.started,mouse_2.started,next_poly.started,next_text.started,self_assess.stopped,self_assess_loop.slider.response,self_assess_loop.slider.rt,self_assess_loop.mouse_2.x,self_assess_loop.mouse_2.y,self_assess_loop.mouse_2.leftButton,self_assess_loop.mouse_2.midButton,self_assess_loop.mouse_2.rightButton,self_assess_loop.mouse_2.time,self_assess_loop.mouse_2.clicked_name,bye.started,bye_text.started,bye.stopped,participant,session,language,date,expName,expVersion,psychopyVersion,frameRate,expStart
English,,7,3,1,,,,,right,,,,,,,4,ff,complex,imagery,2,stimuli/complex_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,1.6556641,None,space,0.4260703,None,"['f', 'f']","[0.7647968000019318, 2.1502333999960683]","[0.15179229999921517, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,3,,,,,52.2896708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2846271,52.2896708,52.2896708,52.2896708,52.7257289,space,0.4260703,None,52.747306,52.7546926,52.7546926,52.7546926,52.7546926,52.7546926,52.7546926,52.7546926,54.9284089,ff,1,1.39,"['f', 'f']","[0.7647968000019318, 2.1502333999960683]","[0.15179229999921517, None]",2,54.9568706,54.9606011,54.9735357,54.9735357,55.9873279,55.9873279,57.9242304,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,0,0,0,,,,,right,,,,,,,1,fghjjhgf,simple,execution,8,stimuli/simple_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,0.8259848,None,space,0.7635426,None,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.6323260999997729, 0.7987370999981067, 1.003741499996977, 1.179534999995667, 1.3839337999961572, 1.5695426999955089, 1.7372785999978078, 1.9339368999935687]","[0.13373889999638777, 0.15325099999608938, 0.14269010000134585, 0.14331240000319667, 0.11534419999952661, 0.14459760000318056, 0.13799640000070212, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,58.8279051,,,,,,,,,,,,,,,,,,,,,,,,57.9657915,57.9692984,57.9692984,57.9692984,57.9692984,58.8093532,2,0,space,0.8259848,None,10,simple,58.824606,58.8279051,58.8279051,58.8279051,59.6084626,space,0.7635426,None,59.6201877,59.6263264,59.6263264,59.6263264,59.6263264,59.6263264,59.6263264,59.6263264,61.5929517,fghjjhgf,1,1.3,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.6323260999997729, 0.7987370999981067, 1.003741499996977, 1.179534999995667, 1.3839337999961572, 1.5695426999955089, 1.7372785999978078, 1.9339368999935687]","[0.13373889999638777, 0.15325099999608938, 0.14269010000134585, 0.14331240000319667, 0.11534419999952661, 0.14459760000318056, 0.13799640000070212, None]",,61.6117707,,,,,,61.6118121,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,1,1,0,,,,,right,,,,,,,2,ff,simple,imagery,2,stimuli/simple_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,0.8259848,None,space,2.02999,None,"['f', 'f']","[1.138736400003836, 2.69710219999979]","[0.10219119999965187, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,61.6186334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6154348,61.6186334,61.6186334,61.6186334,63.658304,space,2.02999,None,63.6731404,63.6796797,63.6796797,63.6796797,63.6796797,63.6796797,63.6796797,63.6796797,66.410202,ff,1,1.56,"['f', 'f']","[1.138736400003836, 2.69710219999979]","[0.10219119999965187, None]",,66.4355476,,,,,,66.4355909,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,2,2,0,,,,,right,,,,,,,3,fjghhgjf,complex,execution,8,stimuli/complex_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,0.8259848,None,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,66.5025782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4388027,,,,66.4388286,None,,,66.4449128,,,,,,,,66.444958,,0,999,None,,,,66.4649173,,,,,,66.4649556,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,3,3,0,,,,,right,,,,,,,4,ff,complex,imagery,2,stimuli/complex_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,0.8259848,None,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,66.5025782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4687359,,,,66.4687654,None,,,66.475871,,,,,,,,66.4759138,,0,999,None,,,,66.4956202,,,,,,66.4956577,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,4,0,1,,,,,right,,,,,,,1,fghjjhgf,simple,execution,8,stimuli/simple_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,0.8259848,None,space,1.6415579,None,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[2.3855741000006674, 2.5619495999999344, 2.764839600000414, 2.9599084000001312, 3.1746769999954267, 3.350607399996079, 3.5372570999970776, 3.7216810999962036]","[0.13218599999527214, 0.1423727000001236, 0.1343293999962043, 0.13158760000078473, 0.1183902000047965, 0.15105380000022706, 0.13424579999991693, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4,0,,,,,66.5025782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4986605,66.5025782,66.5025782,66.5025782,68.1585016,space,1.6415579,None,68.17105,68.1767651,68.1767651,68.1767651,68.1767651,68.1767651,68.1767651,68.1767651,71.9269251,fghjjhgf,1,1.34,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[2.3855741000006674, 2.5619495999999344, 2.764839600000414, 2.9599084000001312, 3.1746769999954267, 3.350607399996079, 3.5372570999970776, 3.7216810999962036]","[0.13218599999527214, 0.1423727000001236, 0.1343293999962043, 0.13158760000078473, 0.1183902000047965, 0.15105380000022706, 0.13424579999991693, None]",,71.9546789,,,,,,71.9547192,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,5,1,1,,,,,right,,,,,,,2,ff,simple,imagery,2,stimuli/simple_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,0.8259848,None,space,0.7992789,None,"['f', 'f']","[1.4996144999968237, 3.3096136000021943]","[0.1471603000027244, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,5,1,,,,,71.9623289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9583758,71.9623289,71.9623289,71.9623289,72.7747978,space,0.7992789,None,72.7876669,72.795885,72.795885,72.795885,72.795885,72.795885,72.795885,72.795885,76.126343,ff,1,1.81,"['f', 'f']","[1.4996144999968237, 3.3096136000021943]","[0.1471603000027244, None]",,76.1509669,,,,,,76.1510053,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,6,2,1,,,,,right,,,,,,,3,fjghhgjf,complex,execution,8,stimuli/complex_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,0.8259848,None,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,2,6,2,,,,,76.2183467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1539846,,,,76.1540105,None,,,76.1602516,,,,,,,,76.160295,,0,999,None,,,,76.1789605,,,,,,76.1790022,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,7,3,1,,,,,right,,,,,,,4,ff,complex,imagery,2,stimuli/complex_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,0.8259848,None,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,3,7,3,,,,,76.2183467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.182724,,,,76.1827464,None,,,76.1919627,,,,,,,,76.1920081,,0,999,None,,,,76.2106403,,,,,,76.2106781,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,8,0,2,,,,,right,,,,,,,1,fghjjhgf,simple,execution,8,stimuli/simple_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,0.8259848,None,space,1.4313671,None,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[1.0212674000067636, 1.1884354000067106, 1.378276100003859, 1.569671000004746, 1.7809806000004755, 1.9654027000069618, 2.1466436000046087, 2.330146100001002]","[0.12396029999945313, 0.14280259999941336, 0.16300860000046669, 0.1295324000020628, 0.11106810000637779, 0.1724216999937198, 0.13336269999854267, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,2,0,8,0,,,,,76.2183467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2138049,76.2183467,76.2183467,76.2183467,77.6589453,space,1.4313671,None,77.6712587,77.6771729,77.6771729,77.6771729,77.6771729,77.6771729,77.6771729,77.6771729,80.0404412,fghjjhgf,1,1.31,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[1.0212674000067636, 1.1884354000067106, 1.378276100003859, 1.569671000004746, 1.7809806000004755, 1.9654027000069618, 2.1466436000046087, 2.330146100001002]","[0.12396029999945313, 0.14280259999941336, 0.16300860000046669, 0.1295324000020628, 0.11106810000637779, 0.1724216999937198, 0.13336269999854267, None]",,80.059297,,,,,,80.0593393,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
